genero,total_musicas,popularidade_media,dancabilidade_media,energia_media,streams_total,melhor_posicao,paises_chart_media
electro,596,34.331,0.65,0.61,82186503839.0,1.0,30.94
sad,564,51.11,0.702,0.479,31436750139.0,1.0,21.212
singer-songwriter,527,43.592,0.55,0.417,9068358268.0,1.0,15.857
jazz,524,9.79,0.489,0.309,32644474052.0,1.0,26.462
r-n-b,489,39.603,0.645,0.589,9896116622.0,1.0,19.69
j-rock,460,36.898,0.514,0.727,1503497554.0,1.0,7.699
soul,445,26.616,0.63,0.552,23317518019.0,1.0,23.219
pop,416,41.945,0.581,0.579,129393684270.0,1.0,33.222
techno,416,40.06,0.683,0.777,6090539767.0,1.0,15.416
alternative,407,22.219,0.596,0.685,14290636450.0,1.0,26.08
latino,398,51.789,0.755,0.712,56449855902.0,1.0,23.714
rock,342,18.178,0.549,0.648,44805340386.0,1.0,30.171
dubstep,268,39.104,0.526,0.77,9265159114.0,1.0,19.991
reggae,256,24.832,0.728,0.699,36234989844.0,1.0,18.602
metal,232,56.422,0.481,0.841,3631721853.0,1.0,15.887
punk,226,41.885,0.507,0.776,7685277442.0,1.0,16.878
house,210,32.09,0.681,0.736,19290446892.0,1.0,26.467
indie,134,34.351,0.578,0.641,2432726233.0,1.0,25.381
reggaeton,74,48.27,0.743,0.737,5867304919.0,1.0,19.69
